frame_index,frame_name,nose_speed,nose_accel,neck_speed,neck_accel,r_shoulder_speed,r_shoulder_accel,r_elbow_speed,r_elbow_accel,r_wrist_speed,r_wrist_accel,l_shoulder_speed,l_shoulder_accel,l_elbow_speed,l_elbow_accel,l_wrist_speed,l_wrist_accel,mid_hip_speed,mid_hip_accel,r_hip_speed,r_hip_accel,r_knee_speed,r_knee_accel,r_ankle_speed,r_ankle_accel,l_hip_speed,l_hip_accel,l_knee_speed,l_knee_accel,l_ankle_speed,l_ankle_accel,r_eye_speed,r_eye_accel,l_eye_speed,l_eye_accel,r_ear_speed,r_ear_accel,l_ear_speed,l_ear_accel,l_big_toe_speed,l_big_toe_accel,l_small_toe_speed,l_small_toe_accel,l_heel_speed,l_heel_accel,r_big_toe_speed,r_big_toe_accel,r_small_toe_speed,r_small_toe_accel,r_heel_speed,r_heel_accel
0,frame_00001_keypoints.json,225.40451736009925,969.4413641169427,214.71740560729896,852.3314331573841,266.2539319705215,324.2435081287915,277.04089700307753,2473.7534211861444,280.57351896586243,7460.338667025767,164.83982514951444,1299.799405642788,34.13064756339587,2178.1220185588686,292.02886978358134,2862.8872025034743,135.37552996932567,1209.0988756596876,209.97411529175594,751.574098456951,148.31787031015105,8664.018164688345,363.4153263513906,13149.289996925916,155.67963406891292,972.0322235761666,224.93686042718647,13309.65537604114,755.7170622367669,5242.292752625134,0.0,7026.763884673981,216.3881338228788,726.9808050352101,nan,nan,182.35232327463004,724.2562260644287,452.2731044081186,10004.302645685262,600.4653295720966,8784.843001816096,901.0528792391738,5448.317649650838,372.9598349720668,20343.271472649256,345.84585939603926,18576.469329931137,451.2034421511318,13633.16714391664
1,frame_00002_keypoints.json,193.14755650731578,1661.8413329840232,203.52032297178002,2086.1626568660113,257.3965353814331,1477.7942564481825,348.0696708178034,4257.129000089934,449.654355373229,8160.725941021683,162.4871796652224,3123.3533345150277,51.55405185275322,3147.7689953679724,253.44758959395628,4982.903960280243,174.8450439625552,3527.585885181241,187.09720799710155,1675.0100844648523,187.21418894706758,5742.0681911395395,465.14757924202416,10365.803508689214,183.1529603991158,3695.1261726460684,595.4948768917099,13499.849829694727,704.79295765863,7965.476593904527,234.22546282246603,9380.83731949979,207.87914539425975,2609.421528083384,nan,nan,158.2507469799922,1585.026358405277,473.23142331306644,15754.402538407061,593.6264011303992,13048.878550832918,796.4439196775902,7114.969439629517,648.9820521261491,20079.52693232632,716.8867736866354,18311.633308618166,531.2462869080416,11099.662578365802
2,frame_00003_keypoints.json,315.7586136897364,4302.506269388171,323.97274852249274,3603.6140666017322,357.40325789306564,3831.1519873556394,512.4276056992917,4883.844262893385,698.5158830801356,3898.162081706611,339.05468080193566,4283.583083290316,214.11578624853388,3331.293335561667,50.30887562257339,5564.128554696899,365.1242887628454,4916.618156172252,302.87907244054145,3564.614675323914,247.26378700687002,1413.8658127920596,627.1808402056755,5832.9878882376,391.85090342202966,6163.599491236281,1037.3114576890728,8715.096124522184,1022.4998926882685,15591.74743887261,625.3891546333191,7587.9471764269665,352.80158376530045,4378.707136413833,nan,nan,277.37567602976145,4075.2306209178323,1125.0651539431221,22969.750361727336,1076.2822331301006,21019.100074642673,1027.771179261684,15006.46771239724,1216.0893839421774,7660.3589017845825,1234.8352621216707,7222.480486986984,700.2654857148315,7023.371219948978
3,frame_00004_keypoints.json,469.1755397663213,2174.1383956673426,439.24893322138536,1604.958646001496,512.1318390914445,2163.8219701247695,652.858731706696,2030.9267266191016,686.2315452920494,2624.9041671164127,444.1427370952141,1226.7405668290057,251.8329753127901,2433.656353611213,138.00413789138335,4379.779994999527,498.60962382237705,1303.570342404743,419.59426727306396,1494.673875985652,210.3437598224424,4047.9283055640562,257.3487935865241,9498.507979388169,590.4329434322605,1839.1281198627212,1170.5541356034464,2139.6585489978065,1650.9223276356822,7127.865100719906,737.4248175861545,4251.220335696153,485.0820374019284,1569.1202156184722,nan,nan,424.75148047635975,2296.4173430838505,1924.700695571339,10351.759448348468,1883.552391735483,10746.253590720156,1676.7437424285624,7114.338560470835,759.0899053286676,11174.831620846962,782.1318418828054,10938.071617074891,228.15306332065998,12251.068512120815
4,frame_00005_keypoints.json,454.1963367108852,886.7672584156868,408.94116821491195,467.368766913624,490.9781590189212,1848.5915491843361,551.9437566858861,4512.831121741377,596.0103598096598,3418.203813801118,373.0128446729899,1476.0067738119271,251.6809178066984,7286.719493979616,266.6738555777035,9684.779929622364,442.91989466797014,513.09098183922,394.3281072192832,341.2297160885059,79.23141358347692,4614.834409530631,444.7456159472473,5439.609154355314,506.4256587998299,216.0716534886978,1029.4822086949314,499.94954722604484,1383.1976438827423,10231.380677020012,346.0614345665548,11061.372263792317,447.1111194239816,559.2395398782596,nan,nan,426.5843997245736,907.7904732053227,1782.7049465762493,6933.07319920264,1743.3420399487043,8811.321441790647,1369.4992496552902,12981.309843112214,722.5838559497062,4055.3386208055026,723.9652801573063,3587.292261773516,462.4995247233403,6038.002651875802
5,frame_00006_keypoints.json,498.54689956186286,2895.5662828209065,462.1823658741108,2731.6684817435325,389.5621926125563,1994.3848949042879,352.32219045509765,5097.88899333329,470.22715049948147,6534.646882789662,526.1247735429114,5406.69460138187,682.9161842209407,11664.60323010772,776.6493942908486,13882.682113635701,530.8713192910972,3604.0923211564213,413.30648368458156,2646.9131090528176,102.71576143091087,9936.242393568229,607.8149016386931,17821.6202151334,589.7452045970302,3774.561853494725,1186.1186464799932,5827.007343213822,1085.9982958351795,11386.332305692018,0.0,3259.4326779223506,507.80418197361035,2349.894138538919,nan,nan,479.4173876267901,2966.4452485294923,1644.627065571613,13566.812598576696,1462.5235813070335,14559.69807149099,945.0079557059702,12382.087579903355,1021.2991628185621,21997.73056757066,1011.5755953565065,22158.371524514096,612.5347913821057,17334.258175202856
6,frame_00007_keypoints.json,634.4378764020407,393.35584811629474,573.4117285807877,387.89565126855126,405.5386276283818,1688.8146987332939,301.8232700960244,4039.5773196021137,192.51512208007168,7890.500308256948,730.1623527752242,1006.4422271422824,1027.4927610887273,3009.9742875963416,1127.9614048443848,3017.8111871352685,656.969248523994,1104.68586297467,539.4636510448196,501.45677274786107,645.1621988326573,15346.083443913876,932.277179843272,33935.71948137907,736.280696315845,1650.216176245059,694.4249063283369,21042.745345161875,631.6827465955486,20294.24107179464,139.39406049747927,4904.641891183766,592.7419166980661,764.272731159205,nan,nan,616.9109274319991,364.7617978172578,883.6877833824188,31817.809186031634,776.2492917711767,28213.979345020405,549.8459927153133,17687.540166641465,865.0750408852696,44527.092866768704,853.3993930924346,44225.47439692997,1011.2484499219179,34158.82983243981
7,frame_00008_keypoints.json,521.3813831304923,4502.905431647038,439.0492361023122,4487.261242835967,280.4431478687783,4572.200720016296,92.79794267965622,5642.095281508581,67.45955839452692,4301.0785912904785,590.2177084101654,4458.317057240264,859.7087702621703,4610.843984300566,958.9280906246685,4872.412640129293,459.15585808542886,5726.684187551405,440.81883446719814,4186.6413744141855,1120.3301914228402,3356.0459673481823,1743.0229811477375,4819.117425406274,481.01005880851244,7042.072354710187,216.83262747870447,11682.275224981651,277.0981554755116,19252.669643958983,326.9761260789178,nan,457.8027566880548,4496.074415466485,nan,nan,502.907954656901,4240.230527902248,486.68797469214223,27226.204561684426,431.4309353266537,25364.703393200765,256.4654025964198,18152.210898083686,2000.7603947792657,7523.435127398753,1982.9883293346772,7422.3308983368,1808.2728089536636,5967.376722269917
8,frame_00009_keypoints.json,344.28430371518243,2523.4197565694567,276.37477139037213,2376.130682574574,102.27533425106701,2969.4370335928534,98.12187053516477,3047.2000953621887,96.808007333627,2201.6667885696743,442.0725065845502,1804.0681483162127,751.770353165586,153.68429511435087,814.5145000269492,2033.4165595802704,275.98666153700407,2700.881366106471,262.47606427908875,2586.738782976095,836.8391967135641,3361.014112560691,957.4093718354085,15495.821597462991,267.0233678551179,3309.678580184953,89.28609967357485,3738.4291189090695,665.1678758985651,9541.942205601727,nan,nan,300.02257090962905,2711.4091169974668,nan,nan,340.42650729403994,1979.9102220233362,939.0338373145582,10512.157353995002,923.6091440891237,12415.253679687721,678.7129082103048,11161.448827831115,1243.6908832459978,14878.796883740677,1235.032840536186,14609.373328667993,937.1194948944335,18033.166828184458
9,frame_00010_keypoints.json,356.0838491216351,434.85665978727326,280.7306579847178,234.888624955063,96.06891667278013,788.092235814208,150.9253992128114,2021.560514693304,154.6357613397614,2643.570317080697,473.2697601525066,937.0371549853257,857.1604918035637,3408.450470197489,855.9154289301562,2087.9494880410466,286.0484884629755,1175.3414685714408,281.42029487363504,1450.1197163298261,905.2530478227817,2750.627481928803,911.2478104837362,8086.679905443182,264.9222729887333,914.0442537731066,73.59094653186412,3541.4678947265993,904.9767480265959,7274.3095944570305,nan,nan,279.22107903812565,625.9834568018124,nan,nan,371.9115994614545,988.1379330158261,1173.2601174671256,7096.7677206678545,1237.662986209802,9430.608551806266,970.2675439133168,8751.855735711435,1260.28804776122,8899.157778110193,1236.5949077284274,8528.941072802449,863.3813834874874,9858.28883636588
