metric,mean,std,min,max
angle_r_elbow,51.42367104978314,6.702523859783215,40.450017519329315,66.18852646809906
angle_l_elbow,38.543256358930115,5.167588306673286,29.278167405336685,47.017007214381145
angle_r_knee,131.5774224111019,18.009825604180737,99.39877773965637,158.33154735892987
angle_l_knee,126.73070187449973,19.298256787705768,90.18539111074766,160.95508097175295
angle_r_shoulder,52.68819328086132,50.7240433519632,2.2556935693541025,142.06972705197873
angle_l_shoulder,131.9452459895714,49.71760860599205,58.46972671334555,179.3606618794025
angle_r_hip,81.53847570714295,31.808226767962207,23.409410210992885,120.4192947304753
angle_l_hip,127.52706753684575,19.257394418500073,101.49929222098879,165.3074243954932
speed_nose,401.2416875965572,131.34463218376885,193.14755650731578,634.4378764020407
speed_neck,362.21493384701694,114.4678327794463,203.52032297178002,573.4117285807877
speed_r_shoulder,315.80519423889496,136.17955352256462,96.06891667278013,512.1318390914445
speed_r_elbow,333.8331334891509,182.52481404606962,92.79794267965622,652.858731706696
speed_r_wrist,369.2631262168405,229.65951819387354,67.45955839452692,698.5158830801356
speed_l_shoulder,424.5384368850235,167.42714426931906,162.4871796652224,730.1623527752242
speed_l_elbow,498.23629393251593,354.2788743697749,34.13064756339587,1027.4927610887273
speed_l_wrist,553.4432147186205,370.17064716995833,50.30887562257339,1127.9614048443848
speed_mid_hip,382.5905957085573,156.68326293402234,135.37552996932567,656.969248523994
speed_r_hip,345.1358098571069,107.44884896135632,187.09720799710155,539.4636510448196
speed_r_knee,448.26714158927615,368.9148933671557,79.23141358347692,1120.3301914228402
speed_r_ankle,730.961040028171,410.6689062013805,257.3487935865241,1743.0229811477375
speed_l_hip,416.65237006873883,185.25089908421972,155.67963406891292,736.280696315845
speed_l_knee,631.803276579882,432.3204849027469,73.59094653186412,1186.1186464799932
speed_l_ankle,908.2053705933491,376.88031526186074,277.0981554755116,1650.9223276356822
speed_r_eye,301.18388202311144,252.53150423686503,0.0,737.4248175861545
speed_l_eye,384.6854525115835,125.16384004378422,207.87914539425975,592.7419166980661
speed_r_ear,nan,nan,nan,nan
speed_l_ear,378.08890029565015,136.25484169281117,158.2507469799922,616.9109274319991
speed_l_big_toe,1088.5272102239755,520.4571721650007,452.2731044081186,1924.700695571339
speed_l_small_toe,1072.874433422057,475.424473763886,431.4309353266537,1883.552391735483
speed_l_heel,917.1810773403625,379.5437741406784,256.4654025964198,1676.7437424285624
speed_r_big_toe,1011.0818561809081,429.43821284821337,372.9598349720668,2000.7603947792657
speed_r_small_toe,1012.325608329269,422.42990046243244,345.84585939603926,1982.9883293346772
speed_r_heel,760.5924731457613,418.1414417928747,228.15306332065998,1808.2728089536636
